Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jared Harper,PG,23,NYK,3,0,2.3,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7
Montrezl Harrell,C,27,LAL,46,1,25.3,6.2,9.7,.638,0.0,0.2,.000,6.2,9.5,.651,.638,2.8,3.9,.702,2.5,4.2,6.7,1.1,0.7,0.8,1.2,2.1,15.1
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,4,0,3.5,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,0,0.3,0.5,0.8,0.5,0.3,0.0,0.3,0.5,0.8
Joe Harris,SF,29,BRK,46,42,30.7,5.2,10.1,.512,3.3,6.7,.487,1.9,3.4,.561,.673,0.6,0.9,.707,0.5,2.9,3.4,1.7,0.6,0.2,0.8,2.2,14.2
Tobias Harris,PF,28,PHI,41,41,34.2,8.1,15.6,.518,1.5,3.8,.409,6.6,11.9,.552,.567,3.2,3.5,.897,1.1,6.5,7.6,3.7,0.9,0.8,1.9,2.0,20.9
Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
Josh Hart,SF,25,NOP,45,3,28.2,3.2,7.2,.437,1.3,4.0,.324,1.8,3.2,.580,.528,1.4,1.8,.765,1.1,6.6,7.7,2.2,0.8,0.2,0.9,2.3,9.0
Isaiah Hartenstein,C,22,DEN,30,0,9.1,1.4,2.7,.513,0.0,0.0,0,1.4,2.7,.513,.513,0.7,1.2,.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
Jaxson Hayes,C,20,NOP,33,1,13.2,2.1,2.9,.722,0.0,0.0,0,2.1,2.9,.722,.722,1.2,1.5,.765,1.1,2.3,3.4,0.5,0.3,0.5,0.6,1.8,5.4
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,40,40,34.2,7.2,15.1,.478,2.0,4.8,.416,5.3,10.4,.506,.543,3.5,4.1,.853,0.8,4.9,5.7,4.1,1.3,0.4,2.1,1.8,19.9
Juan Hernangómez,PF,25,MIN,27,6,17.7,2.5,5.6,.447,1.0,3.1,.337,1.5,2.6,.580,.539,1.1,1.6,.659,0.9,3.5,4.4,0.6,0.4,0.1,0.5,1.0,7.1
Willy Hernangómez,C,26,NOP,25,2,15.8,2.6,5.0,.520,0.0,0.3,.143,2.6,4.7,.542,.524,1.0,1.7,.595,2.4,3.7,6.2,1.2,0.3,0.4,0.4,1.1,6.2
Tyler Herro,SG,21,MIA,35,14,31.9,5.7,13.8,.415,1.8,5.7,.320,3.9,8.1,.482,.481,2.1,2.5,.831,0.5,4.8,5.3,3.5,0.7,0.4,2.2,1.4,15.4
Buddy Hield,SG,28,SAC,46,46,34.9,5.7,14.3,.396,4.0,10.4,.382,1.7,3.8,.435,.536,1.3,1.6,.849,0.4,4.2,4.6,3.3,0.8,0.3,1.8,2.6,16.6
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
Solomon Hill,PF,29,ATL,44,1,19.0,1.4,3.9,.364,1.0,3.0,.331,0.5,1.0,.465,.488,0.4,0.5,.857,0.5,1.7,2.2,0.9,0.7,0.2,0.6,1.6,4.3
Nate Hinton,SG,21,DAL,9,0,3.7,0.6,1.9,.294,0.1,0.7,.167,0.4,1.2,.364,.324,0.4,0.7,.667,0.0,0.3,0.3,0.4,0.2,0.1,0.4,0.1,1.7
Aaron Holiday,PG,24,IND,42,6,17.6,2.5,6.8,.370,1.0,2.9,.331,1.5,3.9,.399,.440,0.8,1.1,.756,0.2,1.0,1.2,1.7,0.6,0.1,0.8,1.6,6.8
Jrue Holiday,PG,30,MIL,34,31,31.3,6.3,12.9,.491,1.8,4.6,.380,4.6,8.2,.554,.559,1.5,1.8,.806,1.2,3.2,4.4,5.1,1.7,0.5,1.9,1.7,15.9
Justin Holiday,SG,31,IND,44,35,32.0,3.9,9.0,.434,2.6,6.6,.393,1.3,2.4,.547,.578,1.1,1.3,.814,0.6,3.2,3.8,1.7,1.2,0.4,0.8,2.0,11.5
Richaun Holmes,C,27,SAC,42,42,30.3,6.0,9.4,.645,0.0,0.2,.250,6.0,9.2,.653,.647,2.0,2.5,.817,2.6,6.3,8.9,1.7,0.7,1.7,1.3,3.8,14.2
Rodney Hood,SF,28,TOT,39,5,19.1,1.9,5.2,.365,0.6,2.2,.294,1.3,3.0,.415,.426,0.2,0.3,.750,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.5,4.7
Rodney Hood,SF,28,POR,38,5,19.1,1.9,5.3,.363,0.7,2.2,.298,1.3,3.1,.410,.425,0.2,0.3,.750,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
Al Horford,C,34,OKC,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,.528,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2
Talen Horton-Tucker,SG,20,LAL,42,1,18.7,3.2,7.1,.446,0.5,1.9,.247,2.7,5.2,.521,.480,1.3,1.5,.828,0.4,2.3,2.7,2.3,0.8,0.5,1.3,2.0,8.1
Danuel House,SF,27,HOU,27,17,28.0,3.4,8.3,.413,1.7,4.6,.360,1.7,3.6,.480,.513,1.2,1.7,.681,0.7,3.4,4.1,2.0,0.6,0.5,0.9,2.0,9.7
Dwight Howard,C,35,PHI,46,4,17.1,2.5,4.3,.570,0.1,0.3,.286,2.4,4.0,.591,.580,1.6,2.9,.548,2.6,5.5,8.1,0.7,0.4,0.9,1.8,3.0,6.7
Markus Howard,SG,21,DEN,21,0,3.4,0.4,1.8,.237,0.2,1.3,.185,0.2,0.5,.364,.303,0.0,0.1,.500,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.5,1.1
Kevin Huerter,SG,22,ATL,45,33,31.4,4.4,10.6,.415,2.1,5.8,.363,2.3,4.8,.477,.514,0.8,1.0,.841,0.7,2.9,3.6,3.6,1.2,0.2,1.3,2.5,11.7
Elijah Hughes,SF,22,UTA,9,0,3.9,0.7,1.9,.353,0.4,1.3,.333,0.2,0.6,.400,.471,0.3,0.4,.750,0.0,0.7,0.7,0.4,0.1,0.1,0.4,0.0,2.1
De'Andre Hunter,SF,23,ATL,20,18,31.3,5.6,11.2,.502,1.6,4.4,.356,4.1,6.8,.596,.572,3.3,3.8,.867,0.8,4.3,5.1,2.1,0.9,0.5,1.4,2.7,16.0
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
Andre Iguodala,SF,37,MIA,42,2,21.2,1.5,4.0,.386,1.0,3.0,.341,0.5,1.0,.525,.515,0.4,0.7,.621,0.6,3.1,3.8,2.1,1.0,0.5,1.0,1.3,4.5
Joe Ingles,SF,33,UTA,41,11,26.7,4.1,7.8,.535,2.7,5.5,.489,1.4,2.2,.648,.709,1.1,1.2,.882,0.4,3.3,3.7,4.3,0.6,0.2,1.5,1.7,12.1
Brandon Ingram,SF,23,NOP,45,45,34.4,8.5,17.9,.476,2.4,6.2,.382,6.2,11.7,.526,.542,4.4,5.0,.883,0.6,4.4,5.0,4.6,0.6,0.7,2.4,2.0,23.8
Kyrie Irving,PG,28,BRK,31,31,35.6,10.8,20.7,.520,2.9,7.1,.406,7.9,13.6,.579,.590,3.7,4.1,.891,1.2,3.7,4.8,5.7,1.2,0.6,2.4,2.7,28.1
Wesley Iwundu,SF,26,DAL,23,3,12.5,0.7,2.3,.327,0.1,1.0,.130,0.6,1.3,.483,.356,0.5,0.6,.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1
Frank Jackson,PG,22,DET,16,4,12.5,1.9,4.4,.423,1.0,2.4,.421,0.9,2.1,.424,.535,0.9,1.1,.824,0.3,1.1,1.4,0.8,0.3,0.0,0.8,1.2,5.6
Josh Jackson,SG,23,DET,41,6,24.6,4.6,11.1,.418,1.1,4.1,.274,3.5,7.0,.502,.468,2.5,3.4,.721,1.0,3.1,4.1,2.1,0.9,0.8,2.2,2.9,12.9
Justin Jackson,SF,25,OKC,30,3,16.4,2.5,6.1,.418,1.0,3.2,.305,1.6,2.9,.540,.497,0.9,1.1,.848,0.4,1.8,2.2,1.5,0.4,0.1,1.0,1.0,7.0
Reggie Jackson,SG,30,LAC,44,24,21.1,3.4,7.4,.456,1.5,3.5,.418,1.9,4.0,.489,.554,1.0,1.2,.778,0.3,2.3,2.6,2.9,0.6,0.1,1.0,1.9,9.2
Justin James,SF,24,SAC,22,0,6.5,0.8,1.8,.425,0.2,0.7,.313,0.5,1.1,.500,.488,0.2,0.5,.417,0.1,0.4,0.5,0.5,0.1,0.0,0.2,0.4,2.0
LeBron James,PG,36,LAL,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,.578,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4
DaQuan Jeffries,SG,23,SAC,16,2,14.2,1.5,3.6,.421,0.6,1.8,.321,0.9,1.8,.517,.500,0.4,0.4,.857,0.5,1.1,1.6,0.3,0.4,0.3,0.4,1.4,3.9
Ty Jerome,SG,23,OKC,13,1,25.8,3.7,8.2,.453,2.2,5.1,.439,1.5,3.1,.475,.590,0.2,0.4,.400,0.5,2.6,3.2,3.4,0.8,0.2,1.0,2.0,9.8
Isaiah Joe,SG,21,PHI,23,1,11.1,1.3,3.7,.360,1.0,2.9,.364,0.3,0.9,.350,.500,0.2,0.2,1.000,0.3,0.9,1.1,0.7,0.3,0.2,0.2,1.0,4.0
Cameron Johnson,PF,24,PHO,38,9,23.5,3.6,8.0,.443,2.1,5.4,.383,1.5,2.6,.566,.572,0.8,1.0,.865,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,10.0
James Johnson,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
Keldon Johnson,SF,21,SAS,40,38,29.0,5.1,10.7,.476,0.9,2.7,.330,4.2,8.0,.525,.517,2.4,3.1,.770,1.6,4.8,6.4,1.9,0.6,0.6,1.2,2.3,13.5
Stanley Johnson,PF,24,TOR,39,6,13.9,1.0,2.6,.373,0.6,1.7,.358,0.4,0.9,.400,.490,0.3,0.4,.786,0.5,1.7,2.1,1.1,0.7,0.3,0.6,1.7,2.8
Tyler Johnson,SG,28,BRK,27,2,16.3,1.8,4.6,.398,1.2,3.1,.376,0.6,1.4,.447,.528,0.6,0.7,.842,0.1,1.7,1.9,1.0,0.4,0.0,0.3,1.0,5.4
Nikola Jokić,C,25,DEN,45,45,35.8,10.7,18.8,.570,1.6,3.6,.427,9.2,15.1,.605,.612,4.2,4.8,.871,2.9,8.2,11.1,8.6,1.6,0.6,3.0,2.8,27.2
Damian Jones,C,25,TOT,22,6,9.4,1.1,1.5,.727,0.0,0.0,.000,1.1,1.5,.750,.727,0.8,1.0,.739,0.7,1.3,2.0,0.2,0.1,0.5,0.5,1.9,3.0
Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
Damian Jones,C,25,LAL,8,6,14.0,2.0,2.1,.941,0.0,0.0,0,2.0,2.1,.941,.941,1.4,1.5,.917,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
Derrick Jones Jr.,SF,23,POR,41,40,26.3,2.9,6.0,.486,0.9,2.7,.330,2.0,3.3,.615,.561,1.2,1.8,.649,1.6,2.7,4.3,0.9,0.8,1.0,0.6,2.4,7.9
Mason Jones,SG,22,HOU,26,1,11.8,1.8,4.4,.412,0.9,2.5,.359,0.9,1.9,.480,.513,1.3,2.2,.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8
Tre Jones,PG,21,SAS,20,0,4.4,0.8,1.5,.500,0.1,0.1,1.000,0.7,1.5,.483,.517,0.3,0.3,1.000,0.3,0.2,0.5,0.5,0.1,0.0,0.4,0.3,1.8
Tyus Jones,PG,24,MEM,43,8,19.7,3.0,6.9,.434,0.7,2.3,.286,2.3,4.6,.508,.481,0.6,0.6,.889,0.3,1.9,2.2,4.1,1.1,0.1,0.8,0.5,7.2
DeAndre Jordan,C,32,BRK,44,34,22.7,3.4,4.5,.765,0.0,0.0,.000,3.4,4.4,.769,.765,0.7,1.5,.492,2.0,5.4,7.5,1.7,0.3,1.3,1.5,2.1,7.5
Cory Joseph,PG,29,TOT,46,2,21.5,2.5,5.7,.439,0.7,2.1,.323,1.8,3.7,.506,.498,0.9,1.2,.782,0.6,1.8,2.3,2.5,0.9,0.2,1.0,2.2,6.7
Cory Joseph,PG,29,SAC,44,2,21.5,2.5,5.7,.444,0.7,2.1,.330,1.8,3.5,.513,.506,0.8,1.1,.766,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6
Mfiondu Kabengele,PF,23,LAC,23,0,4.1,0.4,1.4,.281,0.2,0.8,.222,0.2,0.6,.357,.344,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
Frank Kaminsky,C,27,PHO,32,13,15.1,2.6,5.4,.471,0.8,2.0,.406,1.8,3.4,.509,.546,0.6,1.0,.606,0.7,3.0,3.7,1.6,0.3,0.4,0.5,1.3,6.6
Enes Kanter,C,28,POR,45,32,26.8,5.2,8.5,.604,0.0,0.0,.000,5.2,8.5,.606,.604,2.0,2.5,.781,4.4,7.4,11.8,1.2,0.6,0.7,1.2,2.6,12.3
Luke Kennard,SG,24,LAC,41,7,19.1,2.9,6.0,.484,1.6,3.3,.474,1.4,2.8,.496,.613,0.3,0.4,.824,0.3,2.4,2.7,1.7,0.3,0.2,0.7,1.4,7.8
Maxi Kleber,PF,29,DAL,32,26,28.0,2.5,5.5,.452,1.9,4.2,.452,0.6,1.3,.452,.624,0.9,1.0,.935,0.9,4.5,5.5,1.3,0.5,0.8,0.6,2.4,7.8
Nathan Knight,PF,23,ATL,17,0,7.5,1.2,2.6,.444,0.3,0.8,.357,0.9,1.8,.484,.500,1.2,1.3,.909,0.9,1.1,2.1,0.2,0.2,0.4,0.6,0.8,3.8
Kevin Knox,SF,21,NYK,32,0,13.4,1.6,4.1,.392,1.0,2.5,.388,0.6,1.6,.400,.512,0.4,0.5,.813,0.3,1.4,1.7,0.5,0.3,0.2,0.5,1.1,4.6
John Konchar,SG,24,MEM,22,0,14.8,1.4,3.2,.437,0.4,1.1,.360,1.0,2.1,.478,.500,0.8,0.9,.850,1.0,2.3,3.3,1.1,0.9,0.2,0.4,1.2,4.0
Furkan Korkmaz,SG,23,PHI,35,5,19.3,3.0,7.5,.399,1.7,4.6,.366,1.3,2.9,.451,.511,1.2,1.6,.737,0.3,1.9,2.1,1.1,0.7,0.1,0.9,1.2,8.9
Luke Kornet,PF,25,TOT,14,0,7.6,0.9,2.3,.375,0.6,1.9,.308,0.3,0.4,.667,.500,0.1,0.3,.500,0.2,1.2,1.4,0.4,0.1,0.5,0.1,0.1,2.4
Luke Kornet,PF,25,CHI,13,0,7.2,0.7,2.1,.333,0.5,1.8,.261,0.2,0.3,.750,.444,0.2,0.3,.500,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2.0
Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6
Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
Kyle Kuzma,SF,25,LAL,45,15,27.2,4.7,10.8,.440,1.9,5.2,.369,2.8,5.5,.508,.530,0.8,1.2,.636,1.9,4.8,6.8,1.6,0.5,0.5,1.6,1.7,12.2
Anthony Lamb,SF,23,HOU,8,0,14.4,0.9,4.1,.212,0.4,2.4,.158,0.5,1.8,.286,.258,0.4,0.5,.750,1.5,1.9,3.4,0.3,0.1,0.1,0.4,1.8,2.5
Jeremy Lamb,SG,28,IND,27,8,21.7,3.4,7.7,.447,1.6,3.7,.424,1.9,4.0,.468,.548,2.1,2.3,.951,0.7,2.7,3.4,1.7,0.8,0.5,0.6,2.0,10.6
Zach LaVine,SG,25,CHI,44,44,35.1,10.0,19.2,.518,3.5,8.0,.433,6.5,11.2,.578,.608,4.5,5.2,.868,0.6,4.4,5.0,4.8,0.9,0.5,3.8,2.4,27.9
Jake Layman,SF,26,MIN,33,10,16.1,2.3,4.6,.490,0.6,2.0,.292,1.7,2.7,.636,.552,0.7,0.9,.767,0.4,1.5,1.8,0.8,0.8,0.5,0.7,1.1,5.8
Jalen Lecque,PG,20,IND,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
Damion Lee,SG,28,GSW,45,1,18.8,2.2,4.9,.457,1.4,3.6,.385,0.8,1.3,.655,.598,0.8,0.8,.895,0.4,2.8,3.2,1.4,0.6,0.1,0.4,1.4,6.6
Saben Lee,PG,21,DET,24,1,14.8,2.0,4.0,.485,0.2,0.4,.444,1.8,3.7,.489,.505,1.5,2.4,.649,0.4,1.2,1.6,2.8,0.6,0.3,0.8,1.5,5.6
Alex Len,C,27,TOT,36,14,14.8,2.5,3.9,.640,0.2,0.6,.286,2.3,3.3,.703,.662,1.2,1.9,.609,0.8,2.7,3.5,0.9,0.3,1.1,0.9,1.9,6.3
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,29,12,15.7,2.9,4.4,.651,0.1,0.5,.200,2.8,3.9,.711,.663,1.3,2.2,.619,1.0,2.9,3.9,1.0,0.3,1.2,0.8,2.0,7.2
Kawhi Leonard,SF,29,LAC,38,38,34.4,9.4,18.1,.517,2.0,5.0,.395,7.4,13.1,.563,.571,5.3,6.0,.873,0.9,5.3,6.3,4.8,1.8,0.5,1.8,1.6,26.0
Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,0,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
Caris LeVert,SG,26,TOT,20,12,29.6,6.7,16.0,.419,2.0,5.7,.345,4.8,10.4,.459,.480,2.1,2.7,.792,0.8,3.6,4.4,5.2,1.2,0.3,1.8,1.7,17.5
Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
Caris LeVert,SG,26,IND,8,8,32.1,5.9,15.0,.392,2.1,6.3,.340,3.8,8.8,.429,.463,2.0,2.4,.842,0.6,3.8,4.4,3.9,1.4,0.0,1.3,1.8,15.9
Kira Lewis Jr.,PG,19,NOP,30,0,14.7,2.4,5.7,.415,0.7,2.0,.333,1.7,3.7,.459,.474,0.7,0.9,.741,0.1,0.9,1.0,2.2,0.7,0.1,0.4,1.4,6.1
Damian Lillard,PG,30,POR,43,43,36.1,9.2,20.6,.449,4.2,11.2,.376,5.0,9.3,.537,.551,7.3,7.7,.943,0.5,3.9,4.3,7.7,0.9,0.3,3.3,1.6,30.0
Nassir Little,PF,20,POR,29,2,13.9,1.7,3.7,.449,0.8,2.0,.379,0.9,1.7,.531,.551,1.0,1.2,.857,0.7,1.8,2.6,0.4,0.1,0.4,0.4,1.1,5.1
Kevon Looney,C,24,GSW,35,15,15.3,1.7,2.7,.604,0.1,0.3,.444,1.5,2.5,.621,.625,0.6,0.8,.741,1.6,2.5,4.1,1.7,0.4,0.4,0.6,2.0,4.0
Brook Lopez,C,32,MIL,45,45,27.2,4.2,8.9,.468,1.5,4.4,.332,2.7,4.5,.601,.550,1.6,1.9,.833,1.5,3.6,5.2,0.7,0.7,1.4,1.0,2.0,11.4
Robin Lopez,C,32,WAS,44,9,20.1,3.3,5.6,.592,0.1,0.3,.333,3.2,5.2,.609,.602,1.5,2.2,.705,2.2,1.9,4.1,0.9,0.3,0.6,1.0,1.8,8.2
Kevin Love,PF,32,CLE,4,4,14.5,1.8,5.5,.318,1.0,3.0,.333,0.8,2.5,.300,.409,1.3,1.8,.714,0.5,2.8,3.3,1.3,0.3,0.0,0.8,0.8,5.8
Kyle Lowry,PG,34,TOR,38,38,34.8,5.7,13.1,.437,2.8,7.0,.398,2.9,6.1,.481,.543,3.0,3.4,.884,0.9,4.7,5.6,7.4,1.0,0.3,2.9,3.2,17.2
Timothé Luwawu-Cabarrot,SF,25,BRK,39,7,19.5,2.5,6.6,.379,1.5,4.3,.345,1.0,2.3,.443,.492,0.6,0.8,.781,0.5,2.1,2.5,1.3,0.7,0.1,0.8,1.8,7.1
Trey Lyles,PF,25,SAS,23,9,15.6,1.9,3.9,.478,0.6,1.7,.350,1.3,2.2,.580,.556,0.7,1.0,.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0
Will Magnay,C,22,NOP,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
Théo Maledon,PG,19,OKC,39,23,26.9,3.1,7.9,.386,1.7,4.5,.374,1.4,3.4,.403,.492,0.8,1.0,.750,0.4,2.9,3.2,3.4,1.0,0.1,1.9,2.2,8.5
Karim Mané,PG,20,ORL,8,0,9.8,0.3,1.5,.167,0.1,0.3,.500,0.1,1.3,.100,.208,0.5,0.5,1.000,0.1,1.4,1.5,0.4,0.0,0.3,0.4,0.9,1.1
Terance Mann,SG,24,LAC,44,4,17.2,2.2,4.4,.500,0.4,1.1,.388,1.8,3.3,.538,.549,1.0,1.3,.780,0.8,2.9,3.7,1.3,0.4,0.2,0.6,1.8,5.9
Nico Mannion,PG,19,GSW,16,1,14.8,1.8,5.1,.346,1.1,2.8,.400,0.6,2.3,.278,.457,1.0,1.3,.800,0.1,1.7,1.8,2.8,0.8,0.0,1.1,1.4,5.6
Boban Marjanović,C,32,DAL,21,2,8.6,2.1,4.2,.500,0.0,0.2,.000,2.1,4.0,.524,.500,0.6,0.9,.722,1.7,2.6,4.2,0.3,0.0,0.1,0.4,0.9,4.8
Lauri Markkanen,PF,23,CHI,24,24,29.9,6.3,13.0,.479,2.7,7.1,.382,3.5,6.0,.594,.583,2.2,2.6,.839,0.8,5.0,5.8,0.9,0.5,0.5,1.3,1.9,17.4
Naji Marshall,SF,23,NOP,7,0,3.3,0.1,0.9,.167,0.0,0.3,.000,0.1,0.6,.250,.167,0.1,0.3,.500,0.0,0.3,0.3,0.3,0.0,0.1,0.1,0.3,0.4
Caleb Martin,SF,25,CHO,30,1,14.2,1.9,4.8,.403,0.7,2.1,.317,1.3,2.7,.469,.472,0.7,1.2,.595,0.7,1.8,2.5,1.0,0.8,0.2,0.7,1.0,5.3
Cody Martin,SF,25,CHO,32,2,13.3,1.6,3.2,.490,0.3,1.0,.273,1.3,2.2,.594,.534,0.4,0.6,.700,0.9,1.7,2.5,1.3,0.5,0.2,0.6,0.9,3.8
Kelan Martin,SF,25,IND,14,0,3.9,0.5,1.5,.333,0.1,0.6,.222,0.4,0.9,.417,.381,0.1,0.1,1.000,0.1,0.8,0.9,0.1,0.2,0.1,0.3,0.4,1.3
Kenyon Martin Jr.,SF,20,HOU,18,0,19.6,2.7,5.4,.495,0.4,1.2,.364,2.2,4.2,.533,.536,1.2,1.6,.759,1.8,2.9,4.7,0.7,0.6,1.0,1.1,1.8,7.0
Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
Garrison Mathews,SG,24,WAS,38,21,18.3,1.9,4.4,.440,1.5,3.5,.421,0.4,0.9,.515,.608,1.6,1.8,.896,0.3,1.3,1.7,0.5,0.6,0.2,0.2,1.9,6.9
Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
Wesley Matthews,SG,34,LAL,39,5,20.3,1.5,4.1,.363,1.1,3.2,.344,0.4,0.9,.429,.497,0.5,0.5,.857,0.3,1.2,1.5,1.0,0.5,0.3,0.4,1.5,4.5
Tyrese Maxey,SG,20,PHI,40,6,14.7,3.1,6.8,.459,0.5,1.5,.300,2.7,5.3,.505,.493,0.6,0.7,.828,0.2,1.4,1.7,1.6,0.4,0.2,0.6,1.2,7.3
Skylar Mays,SG,23,ATL,20,0,7.6,1.1,2.7,.389,0.5,1.2,.375,0.6,1.5,.400,.472,0.9,1.0,.850,0.5,0.5,1.0,1.0,0.3,0.0,0.3,0.5,3.4
Patrick McCaw,SF,25,TOR,5,0,6.6,0.2,0.2,1.000,0.0,0.0,0,0.2,0.2,1.000,1.000,0.6,0.6,1.000,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0
CJ McCollum,SG,29,POR,20,20,32.5,8.7,19.8,.438,4.4,10.6,.412,4.3,9.2,.467,.548,2.7,3.1,.869,0.6,3.2,3.7,4.7,1.0,0.4,1.4,1.8,24.3
T.J. McConnell,PG,28,IND,41,2,25.3,3.4,6.2,.545,0.2,0.6,.304,3.2,5.6,.570,.559,0.3,0.6,.565,0.7,2.9,3.6,6.4,1.8,0.4,1.9,1.6,7.2
Jaden McDaniels,PF,20,MIN,39,5,20.8,2.3,5.3,.435,1.0,2.8,.361,1.3,2.5,.515,.529,0.4,0.7,.500,0.7,2.7,3.3,0.9,0.5,1.0,0.6,2.3,6.0
Jalen McDaniels,SF,23,CHO,21,1,11.1,1.6,3.6,.440,0.4,1.3,.286,1.2,2.2,.532,.493,0.7,1.0,.714,0.4,1.9,2.2,0.5,0.1,0.2,0.8,1.5,4.2
